Lyric,Artist,Title
it started with a kiss on your mama's couch 0 was nothing serious and then we caught the feels it got really real too good to be true i guess i thought you was yeah pre why did i run away run away run away oh your love was everything everything everything i know it's gettin' late gettin' late gettin' late but can i still be on my way on my way yeah i know i said goodbye and baby you said it too but when i touch her i feel like i'm cheating on you i thought that i'd be better when i found someone new but when i touch her i feel like i'm cheating on you post baby no oh cheating on you baby no but when i touch her i feel like i'm cheating on you thought i could get you back any time of day shouldn't have been so cocky shouldn't have did you wrong woah and now i miss you bad really really bad guess you don't know what you got until it's gone pre why did i run away run away run away run away oh your love was everything everything everything everything i know it's gettin' late gettin' late gettin' late gettin' late but can i still be on my way on my way yeah i know i said goodbye and baby you said it too you said it too baby but when i touch her i feel like i'm cheating on you cheating on you i thought that i'd be better when i found someone new ooh but when i touch her i feel like i'm cheating on you post baby no oh cheating on you baby no but when i touch her i feel like i'm cheating on you baby no there ain't no lips like your lips and nobody else feels like this there's no moving on i'll admit if you go away yeah i know i said goodbye and baby you said it too but when i touch her i feel like i'm cheating on you cheating on you i thought that i'd be better when i found someone new found someone new but when i touch her i feel like i'm cheating on you believe it baby post baby no oh cheating on you i said goodbye but i'm still in love baby no i said goodbye but i'm still in love but when i touch her i feel like i'm cheating on you i said goodbye and you said goodbye,Charlie Puth,Cheating on You
sorry these mistakes ive made my fair share when you needed me i wasnt there i was young i was dumb i was so immature and the things that i did made you so insecure but baby im still your man i swear please be patient with me please be patient with me i know im not what you need but baby im gonna be so please be patient with me is it too much is it too much that im asking for can we start over can we start over can we end this war ive been taking your love ive been wasting your time but is there still a chance of me changing your mind before you yeah go walking out the door pre oh you know im not perfect if you leave i deserve it but baby all im asking you is please please oh please be patient with me patient with me please be patient with me patient with me i know im not what you need i know im not what you need but baby im gonna be baby im gonna be so please be patient with me patient with me oh you dont wanna wait another minute you dont wanna wait another night just trust me just trust me just trust me baby you dont wanna wait another minute no you dont wanna wait another night just trust me just trust me just trust me baby please be patient with me please be patient with me i know im not what you need but baby im gonna be so please be patient with me please be patient with me patient with me please be patient with me yeah i know im not what you need i know im not what you need but baby im gonna be so please be patient with me,Charlie Puth,Patient
it's been a long day without you my friend and i'll tell you all about it when i see you again we've come a long way from where we began oh i'll tell you all about it when i see you again when i see you again why'd you have to leave so soon yeah why'd you have to go why'd you have to leave me when i needed you the most 'cause i don't know really how to tell you without feeling much worse i know you're in a better place but it's always gonna hurt pre carry on give me all the strength i need to carry on it's been a long day without you my friend and i'll tell you all about it when i see you again we've come a long way from where we began oh i'll tell you all about it when i see you again when i see you again how do i breathe without you i'm feeling so cold i'll be waitin' right here for you 'tll the day you're home pre carry on give me all the strength i need to carry on so let the light guide your way yeah hold every memory as you go and every road you take will always lead you home home it's been a long day without you my friend and i'll tell you all about it when i see you again we've come a long way from where we began oh i'll tell you all about it when i see you again when i see you again when i see you again when i see you again see you again when i see you again,Charlie Puth,See You Again (Original Version)
i warned myself that i shouldn't play with fire but i can tell that i'll do it one more time don't trust in myself mmm no good for my health mmm you messed with my heart now you're the reason why do you remember when you told me i don't have to worry he's overseas out on his tour he'll be okay without me you said you had nothing to hide that you left him long ago i shoulda known that was a lie i warned myself that i shouldn't play with fire but i can tell that i'll do it one more time don't trust in myself mmm no good for my health mmm you messed with my heart now you're the reason why i warned myself that i shouldn't play with fire but i can tell that i'll do it one more time don't trust in myself mmm no good for my health mmm you messed with my heart now you're the reason why do you remember when you said do not tell anybody 'cause if ya do i'll be the first to put my hands around your throat if you had nothing to hide why is no one s'posed to know i shoulda known that was a lie i i warned myself warned myself that i shouldn't play with fire oh no but i can tell i know that i'll do it one more time don't trust in myself mmm no good for my health mmm you messed with my heart now you're the reason why i warned myself warned myself that i shouldn't play with fire but i can tell i can tell that i'll do it one more time don't trust in myself mmm no good for my health mmm you messed with my heart now you're the reason why the reason why,Charlie Puth,I Warned Myself
i got these girls tryna lock me down and i always up and leave but for the first time in a while i wanna throw away the key and i know you've been in a couple more relationships than me 'cause you talk a different talk and you kiss me differently pre now i don't know where to go after you loved me this way after you loved me so good how are you gonna tell me you don't wanna stay you tell me i'm too young but i gave you what you wanted baby how dare you treat me just like like a boy you won't wake up beside me 'cause i was born in the '90s baby how dare you treat me just like like a boy go and treat me like boy go and treat me like boy you told me you needed a perfect guy that'll make your parents proud guess you still ain't found him yet why 'cause we're still messin' around oh and now you watch me put in all this work just to say it won't work out work out you never took me seriously took me seriously now what the hell is that about pre now i don't know where to go after you love me this after you loved me this way after you love me so after you loved me so good how are you gonna tell me you don't wanna stay you tell me i'm too young but young but i gave you what you wanted what you wanted baby how dare you treat me just like like a boy you won't wake up beside me beside me 'cause i was born in the '90s in the '90s baby how dare you treat me just like just like like a boy go and treat me like boy go and treat me like boy baby don't you treat me like a boy boy go and treat me like boy go and treat me like boy you tell me i'm too young but young but i gave you what you wanted what you wanted baby how dare you treat me just like like a boy you won't wake up beside me beside me 'cause i was born in the '90s in the '90s baby how dare you treat me just like like a boy go and treat me like boy go and treat me like boy baby don't you treat me like a boy boy go and treat me like boy go and treat me like boy just like like a boy just like like a boy,Charlie Puth,BOY
charlie puth one two three four why are we looking down on our sisters and brothers isn't love all that we got don't we know everyone's got a father and mother the day we know we're all the same together we can make that change james taylor both look around there are too many of us crying and not enough love to go around what a waste another day another good one dying but i know that the world will change the day we know we're all the same charlie puth why cant we just get along if loving one another's wrong then how are we supposed to get close to each other we gotta make that change yeah why cant we just get along james taylor charlie puth both what a waste it would be to deny somebody of a chance to be theirselves what a waste it would be if we hurt for nothing but i know that the world can change the day we know we're all the same charlie puth why cant we just get along if loving one another's wrong then how are we supposed to get close to each other we gotta make that change yeah charlie puth i know we could break apart we dont have to go that way not today charlie puth why cant we just get along if loving one another's wrong then how are we supposed to get close to yeah why cant we just get along if loving one another's wrong then how are we supposed to get close to each other we gotta make that change yeah charlie puth that change yeah,Charlie Puth,Change
he's such a nice boy so wellmannered he's so much better than the last one you brought around please and thank you everything matters i'm gonna make sure that she knows i'm the best she's found pre the moment she walks out that door i'm not pretending anymore if your mother knew all of the things that we do if your mother knew all the things we do if your mother knew she'd keep me so far from you if your mother knew all the things we do sneak out the window bed stuffed with pillows i'll be waiting in the car right around the block back of the benzo back of the benzo more than a friend zone more than a friend zone we've been hiding since the time they forgot to knock pre the moment she walks out that door she walks out the door i'm not pretending anymore if your mother knew all of the things that we do yeah if your mother knew if your mother all the things we do all that we do if your mother knew she'd keep me so far from you if your mother knew oh all the things we do next time that she sees me she gon' act like she don't know me 'cause she knows all of the story now your daddy wants to kill me ah next time that she sees me she gon' act like she don't know me 'cause she knows all of the story now your daddy wants to kill me yeah yeah if your mother only knew ooh pre the moment she walks out that door i'm not pretending anymore if your mother knew all of the things that we do if your mother knew all the things we do we do if your mother knew she'd keep me so far from you if your mother knew all the things we do from you oh post next time that she sees me hey she gon' act like she don't know me does she know me 'cause she knows all of the story now your daddy wants to kill me yeah next time that she sees me she gon' act like she don't know me 'cause she knows all of the story now your daddy wants to kill me yeah if your mother knew all the things we do if your mother knew all the things we do if your mother knew all of the things that we do,Charlie Puth,Mother
told you i'm moving on to bigger and better things guess you never know what good you got until it's gone thought i could find somebody new who could take your place the list goes on and on and on pre there was nikki nicole tiffany and heather but there's only room for you in my world but she said that i change like the east coast weather how the hell did i get caught up messin' with these la girls i miss my baby i'm missin' my baby la girls i miss my baby messin' with these la girls what i miss the days we take the greyhound to nyc nyc wish i could've seen that it was perfect how it was listen i don't want this to be the way you remember me 'cause i know i was wrong wrong pre there was nikki nicole tiffany and heather but there's only room for you in my world only room for one but she said that i change like the east coast weather oh how the hell did i get caught up caught up messin' with these la girls i miss my baby my baby i'm missin' my baby la girls i miss my baby here we go messin' with these la girls i miss my baby baby i'm missin' my baby la girls i miss my baby here we go messin' with these la girls one two three talk to me like ah ooh ooh yeah ooh oh oh oohooh quit messin' with me baby ah ooh ooh yeah ooh ohoh ooh ooh pre there was nikki nicole tiffany and heather but there's only room for you in my world only you in my world but you say that i change like the east coast weather how the hell did i get caught up messin' with these la girls i miss my baby baby i'm missin' my baby la girls i miss my baby my baby messin' with these la girls i'm missin' my baby i miss my baby i'm missin' my baby la girls i miss my baby baby messin' with these la girls i miss my baby i'm missin' my baby la girls i miss my baby all of these la girls i miss my baby my baby i'm missin' my baby la girls i miss my baby messin' with these la girls,Charlie Puth,LA Girls
don't run from me river don't run from me river river no don't run from me river don't run from me river river look you can play it cool act like you don't care river don't be cruel you're pushin' me away don't want to get hurt so you hurt me first with the words you say pre maybe you should fall that's what rivers do 'cause when you're in love you don't mind a different view things are lookin' up oh river river river don't run run run don't run river river don't run run run oh river river river don't run run run don't run river river from our love run run look darlin' don't give up when the water's rough where you gonna go my heart is your home nothin' is as cold as runnin' on your own so river don't you rush pre maybe you should fall that's what rivers do 'cause when you're in love you don't mind a different view things are lookin' up oh river river river don't run run run don't run river river don't run run run oh river river river don't run run run don't run river river from our love run run don't run from me river don't run from me river river no don't run from me river don't run from me river river no don't run from me river don't run from me river river no don't run from me river pre maybe you should fall that's what rivers do 'cause when you're in love you don't mind a different view things are lookin' up oh river river river don't run run run don't run river river don't run run run oh river river river don't run run run don't run river river from our love run run oh river river river don't run from me river don't run run run don't run from me river river don't run river river no don't run from me river don't run run run don't run from me river river oh river river river don't run from me river don't run run run don't run from me river river don't run river river no don't run from me river from our love run run don't run from me river river no,Charlie Puth,River
detonate detonator baby oh you blow my mind you tell me wait wait on ya but baby i can't wait all night i go through pictures you send my phone oh stop tempting me you know what i want i wanna make wanna make love girl i can't lie i'm just a sucker for a coldhearted lover you make me suffer you make me suffer don't keep me waiting you should come over whoa don't make me suffer don't make me suffer so here we go go again it's like i'm caught under your spell you're wearing black black magic well baby don't wear nothing else when i open up this door don't you play ain't no other man gon' make you feel the same i wanna make wanna make love girl i can't lie i'm just a sucker for a coldhearted lover you make me suffer you make me suffer don't keep me waiting don't keep me waiting you should come over you should come you should come baby don't make me suffer don't make me suffer i hate it when you get your way but we love yeah we love it baby some things don't ever change you make me suffer baby oh you you ohohoh i'm just a sucker i'm just a sucker baby for a coldhearted lover for a coldhearted lover you make me suffer you make me suffer you make me suffer you make me suffer don't keep me waiting don't keep me waiting you should come over whoa don't make me suffer don't make me suffer,Charlie Puth,Suffer
i got a situation this girl been stressin' me sayin' she better be the only one my life is complicated she's only i'm not the guy that she's supposed to love pre oh the more that i tell her i'm not stayin' over the harder she makes it to go oh the more that i try to convince her this won't work the faster she takes off her clothes girl you gotta slow it down girl you gotta slow it down i'm not tryna fall for you girl you gotta slow it down girl you gotta slow it down i can't give it all to you even though i want to she knows just what she doin' she fuckin' with my head wrappin' her legs so tight around my waist two in the afternoon but we still ain't out of bed no matter what she always gets her way pre oh the more that i tell her i'm not stayin' over whoa the harder she makes it to go you make it so hard oh the more that i try to convince her this won't work oh the faster she takes off her clothes girl you gotta slow it down girl you gotta slow it down i'm not tryna fall for you girl you gotta slow it down girl you gotta slow it down i can't give it all to you even though i want to even though i want to oh yeah you've got to slow it slow it down baby you've got to slow it down you don't know what you're doin' to me now you've got to slow it slow it down baby oh you've got to slow it down oh girl you gotta slow it down girl you gotta slow it down i'm not tryna fall for you i'm not tryna fall baby girl you gotta slow it down girl you gotta slow it down i can't give it all to you even though i want to oh you gotta slow it down yeah yeah,Charlie Puth,Slow It Down
i was just with you on your birthday and i met your whole family but on the way home you kept looking at your phone couldn't help but ask who is that babe and the way you said nobody i knew the rumors they were more than just rumors pre maybe i should have noticed you were just half in love maybe i should have noticed that i'm not the only one somebody told me that you got another lover you've been giving it to can't believe i believed you you were my girl somebody saw you with him now you're tryna tell me that he's only a friend can't believe i believed it you were my girl ooh ooh ooh oohoohooh lately you've been making excuses and the stories ain't adding up but i just go blind when you look into my eyes every time that i try to confront you to confront you there's always somewhere you gotta run to gotta run to the warning signs they were more than just warning signs pre maybe i should have noticed you were just half in love you were half in love maybe i should have noticed that i'm not the only one 'cause somebody told me that you got another lover you've been giving it to can't believe i believed you you were my girl somebody saw you with him now you're tryna tell me that he's only a friend can't believe i believed that you were my girl ooh ooh ooh oohoohooh you were my girl maybe i should have noticed you were just half in love you were half in love maybe i should have noticed that i'm not the only one you were my girl yeah maybe i should have noticed that i'm not the only one somebody told me that you got another lover you've been giving it to can't believe i believed you believed you you were my girl somebody saw you with him now you're tryna tell me that he's only a friend can't believe i believed that believed that you were my girl that you were mine hey you were my girl maybe i should have noticed you were just half in love you were just half in love maybe i should have noticed that i'm not the only one you were my girl,Charlie Puth,Somebody Told Me
yeah tired of this conversation we didn't come all this way to touch a little kiss a little all night long you wanna hear me say it i know i kept you waitin' just a little just a little all night long pre can't stop 'til you're lyin' right here next to me i should stop but i think i'll do it anyway baby would you ever want to be my girlfriend i don't wanna play no games this is more than just a phase baby would you ever want to be my girlfriend if you want it let me know we could make this official don't we look perfect baby let's take this further baby just a little just a little all night long if i was your boyfriend i i'd be givin' you all my time not just a little just a little all night long pre can't stop 'til you're lyin' right here next to me i should stop oh but i think i'll do it anyway baby would you ever want to be my girlfriend oh i don't wanna play no games no games this is more than just a phase baby would you ever want to be my girlfriend oh if you want it let me know me know we could make this official for sure post hold on you're makin' me oh no baby no hold on you're makin' me oh no baby my my girlfriend hold on you're makin' me oh no baby no hold on you're makin' me oh no baby my my girlfriend pre i can't stop woah know i should stop but i had to do it anyway i had to do it anyway i had to do it anyway i had to do it anyway baby would you ever wanna be my girlfriend oh i don't wanna play no games no games this is more than just a phase yeah baby would you ever wanna be my girlfriend oh if you want it let me know me know we could make this official oh yeah post hold on you're makin' me oh no baby no hold on you're makin' me oh no baby my if you were my girlfriend i'm ready to do this thing yeah hold on you're makin' me oh no baby no hold on you're makin' me oh no baby my my girlfriend yeah,Charlie Puth,Girlfriend
oh the way that you dance on me makes me not wanna leave you wanna go upstairs but you don't wanna sleep oh right now we're in a rhythm your boyfriend's no competition turn off your phone and blame it on your battery hey pre ohohohoh we're getting real real close ohohohoh can't let this moment go hands on your body like there's no one at the party just me and you and these empty cups if you wanna like i wanna let me take you to another room so it's only us turn that television up so nobody can listen hands on your body like there's no one at the party just me and you and these empty cups oh girl do you think they'll notice if we slip away maybe tomorrow they'll all have something to say oh right now we're in the rhythm we don't need no one's permission end of the night don't mean we gotta separate ohoh pre ohohohoh we're getting real real close ohohohoh can't let this moment go hands on your body like there's no one at the party just me and you me and you and these empty cups if you wanna like i wanna let me take you to another room 'nother room so it's only us turn that television up so nobody can listen hands on your body like there's no one at the party just me and you me and you and these empty cups all of these empty cups baby all of these empty cups pre ohohohoh we're getting real real close ohohohoh can't let this moment go hands on your body like there's no one at the party just me and you me and you and these empty cups if you wanna like i wanna let me take you to another room 'nother room so it's only us turn that television up so nobody can listen hands on your body like there's no one at the party just me and you me and you and these empty cups on your body like there's no one at the party just me and you all of these empty cups if you wanna like i wanna let me take you to another room oh baby like it's only us turn that television up so nobody can listen hands on your body like there's no one at the party just me and you and these empty cups,Charlie Puth,Empty Cups
you could say i lived a crazy life for a man so young the kind that made me question my faith now i'm looking back just wondering where the time has gone but i guess it's just the price you pay i've already loved more than i thought i could love someone i've already felt my heart break yeah i've already fell so many times but i got back up but at least i did it all my way i've been through it all yeah i've been through it all yeah you won't see me crying if tomorrow never comes god only knows i've been through it all growing up in this wild city you had to fight or run now you know why i'm not afraid yeah maybe it's my recklessness that got me in trouble but at least i did it all my way i've been through it all yeah i've been through it all yeah you won't see me crying if tomorrow never comes god only knows i've been through it all ooh oohooh oohooh oohooh yeah i've been through it all ooh oohooh oohooh oohooh yeah yeah oh mmhmmh mmhmmh i've been through it all yeah i've been through it all yeah you won't see me crying if tomorrow never comes god only knows i've been through it all you won't see me crying if tomorrow never comes god only knows i've been through it all,Charlie Puth,Through It All
